trade_date,account,symbol,type,quantity,price,fee
2025-11-26,ROTH,AMD,BUY,102,211.8871,4.95
2025-11-26,ROTH,ASML,BUY,48,1050.5300,4.95
2025-11-26,ROTH,CDNS,BUY,98,307.1800,4.95
2025-11-26,ROTH,ISRG,BUY,33,576.9800,4.95
2025-11-26,ROTH,LSCC,BUY,176,70.3059,4.95
2025-11-26,ROTH,SNPS,BUY,87,409.2495,4.95
2025-11-26,ROTH,TSM,BUY,148,290.7208,4.95
2026-01-30,Regular IRA,AMAT,BUY,6,327.3073,4.95
2026-01-30,Regular IRA,AMD,BUY,12,244.5000,4.95
2026-01-30,Regular IRA,ASML,BUY,4,1447.3288,4.95
2026-01-30,Regular IRA,KLAC,BUY,11,1546.5000,3.88
2026-01-30,Regular IRA,KLAC,BUY,3,1451.1839,1.07
2026-01-30,Regular IRA,MU,BUY,33,424.4730,4.95
2026-01-30,Regular IRA,SNPS,BUY,10,472.5702,4.95
2026-01-30,Regular IRA,TSM,BUY,24,337.8350,4.95
2026-02-11,Regular IRA,ASML,BUY,2,1433.6750,4.95
2026-02-11,Regular IRA,SNPS,BUY,2,428.1500,4.95
2026-02-11,Regular IRA,TSM,BUY,3,375.9047,4.95
2026-02-11,Regular IRA,MU,SELL,17,402.1213,4.95
